term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Age at maturity basis,Age measured at maturity.,,,,Age basis (broader) [https://w3id.org/gcdfo/salmon#AgeBasis]; Age basis scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeBasisScheme],https://w3id.org/gcdfo/salmon#AgeAtMaturityBasis,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeAtMaturityBasis,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age at return basis,Age measured at return migration (adult return timing).,,,,Age basis (broader) [https://w3id.org/gcdfo/salmon#AgeBasis]; Age basis scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeBasisScheme],https://w3id.org/gcdfo/salmon#AgeAtReturnBasis,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeAtReturnBasis,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age at sampling basis,Age measured at the time of sampling or observation.,,,,Age basis (broader) [https://w3id.org/gcdfo/salmon#AgeBasis]; Age basis scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeBasisScheme],https://w3id.org/gcdfo/salmon#AgeAtSamplingBasis,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeAtSamplingBasis,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age basis,The reference event or life-history point that an age value is measured against.,,,,Age basis scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeBasisScheme],https://w3id.org/gcdfo/salmon#AgeBasis,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeBasis,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age basis scheme,"Controlled vocabulary for the reference event used by an age value (for example, age at return).",,,,,https://w3id.org/gcdfo/salmon#AgeBasisScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeBasisScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age class value,An integer-like age class value used as a compositional constraint in salmon measurements.,,,,Age class value scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeClassValueScheme],https://w3id.org/gcdfo/salmon#AgeClassValue,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeClassValue,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age class value scheme,Controlled vocabulary for integer-like age class values used as constraints on salmon measurements.,,,,,https://w3id.org/gcdfo/salmon#AgeClassValueScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeClassValueScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age dimension,"The age component represented by a value (total age, freshwater years, or ocean years).",,,,Age dimension scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeDimensionScheme],https://w3id.org/gcdfo/salmon#AgeDimension,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeDimension,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age dimension scheme,"Controlled vocabulary for which age component is represented (total age, freshwater years, or ocean years).",,,,,https://w3id.org/gcdfo/salmon#AgeDimensionScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeDimensionScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age notation,A notation system used to encode salmon age values in stock assessment data.,,,,Age notation scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeNotationScheme],https://w3id.org/gcdfo/salmon#AgeNotation,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeNotation,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Age notation scheme,"Controlled vocabulary for salmon age notation systems (for example, Gilbert-Rich and European notation).",,,,,https://w3id.org/gcdfo/salmon#AgeNotationScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AgeNotationScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Amber zone,"Amber status implies caution in the management of the Conservation Unit. While a CU in the Amber zone should be at a low risk of loss, there will be a degree of lost production. Decisions about the conservation of CUs in the Amber zone will involve broader consideration of biological, social, and economic issues. ",Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,,Wild Salmon Policy Status Zone (inScheme) [https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme],https://w3id.org/gcdfo/salmon#AmberZone,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AmberZone,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Area Under the Curve,Integrates serial counts over time using a survey-life parameter; may apply observer efficiency.,,,,Escapement Estimate Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateMethodScheme]; Estimate Method (broader) [https://w3id.org/gcdfo/salmon#EstimateMethod],https://w3id.org/gcdfo/salmon#AreaUnderTheCurve,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#AreaUnderTheCurve,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Benchmark Level Scheme,Controlled vocabulary for generic benchmark-level qualifiers usable as I-ADOPT constraint values attached to benchmark variables or values.,,,,,https://w3id.org/gcdfo/salmon#BenchmarkLevelScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BenchmarkLevelScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
BenchmarkRatioMetric,Dimensionless ratio of generational average abundance to a benchmark threshold used in WSP rapid-status logic.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#BenchmarkRatioMetric,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BenchmarkRatioMetric,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Biological Benchmark and Indicator Scheme,"Controlled vocabulary for key biological benchmarks, performance indicators, and reference points used in salmon stock assessment and management (e.g., SMSY, Sgen, spawner abundance).",,,,,https://w3id.org/gcdfo/salmon#BiologicalBenchmarkAndIndicatorScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BiologicalBenchmarkAndIndicatorScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Brood year,"TThe parental year for a group of returning salmon, i.e. the calendar year when the majority of parents of these fish spawned.",Adapted from the Government of Canada Pacific Salmon Glossary,Adapted from the Government of Canada Pacific Salmon Glossary,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,Year basis (subClassOf) [https://w3id.org/gcdfo/salmon#YearBasis],https://w3id.org/gcdfo/salmon#BroodYear,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BroodYear,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Bypass/Breach Risk,Bypass or breach risks not monitored and verified negligible,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#BreachBypass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BreachBypass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Calibrated Time Series,Regression/state-space model calibrated to a Type-1/2 series converts a lower-precision index to abundance.,,,,Escapement Estimate Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateMethodScheme]; Estimate Method (broader) [https://w3id.org/gcdfo/salmon#EstimateMethod],https://w3id.org/gcdfo/salmon#CalibratedTimeSeries,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#CalibratedTimeSeries,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Catch context,Measurement context indicating values refer to fishery catch.,,,,Measurement context (broader) [https://w3id.org/gcdfo/salmon#MeasurementContext]; Measurement context scheme (inScheme) [https://w3id.org/gcdfo/salmon#MeasurementContextScheme],https://w3id.org/gcdfo/salmon#CatchContext,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#CatchContext,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Catch year,The calendar year in which returning salmon are caught in fisheries (as opposed to the brood year in which the cohort was spawned).,,,,Year basis (subClassOf) [https://w3id.org/gcdfo/salmon#YearBasis],https://w3id.org/gcdfo/salmon#CatchYear,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#CatchYear,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Classification,Classification/attribution not documented,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Classification,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Classification,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Confidence category,"Categorical confidence rating (High, Medium, Low) for stock assessment metrics.",,,,Rapid status confidence scheme (inScheme) [https://w3id.org/gcdfo/salmon#RapidStatusConfidenceScheme],https://w3id.org/gcdfo/salmon#ConfidenceCategory,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ConfidenceCategory,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
COSEWIC Status Scheme,Controlled vocabulary for COSEWIC statuses,,,,,https://w3id.org/gcdfo/salmon#COSEWICStatusScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#COSEWICStatusScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Cross-section Coverage,Incomplete cross-section coverage,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#CrossSectionCoverage,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#CrossSectionCoverage,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Deme,"A local interbreeding group of organisms within a species. In salmon, a deme typically corresponds to a spawning population at a specific site. Demes are the finest biological unit and make up populations.",,,,Organism (subClassOf) [http://rs.tdwg.org/dwc/terms/Organism],https://w3id.org/gcdfo/salmon#Deme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Deme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Detectability,Detectability factors not validated,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Detectability,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Detectability,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Device Configuration,Device not within operational specifications,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#DeviceConfiguration,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#DeviceConfiguration,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Documentation,Missing SIL/SEN logs or QA/methods report,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Documentation,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Documentation,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Downgrade Criteria,Criteria that may result in downgrading an escapement estimate type classification,,,,Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#DowngradeCriteria,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#DowngradeCriteria,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Downgrade Criteria Scheme,Controlled vocabulary for estimate type downgrade criteria,,,,,https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#DowngradeCriteriaScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Effort Standardization,Effort not standardized,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#EffortStandardization,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EffortStandardization,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Electrofishing Count,Effort-standardized electrofishing passes used to generate catch-per-unit-effort (CPUE) indices.,,,,Enumeration Method (broader) [https://w3id.org/gcdfo/salmon#EnumerationMethod]; Escapement Enumeration Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EnumerationMethodScheme],https://w3id.org/gcdfo/salmon#ElectrofishingCount,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ElectrofishingCount,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Enumeration Method,A method used to enumerate or count salmon in the field,,,,Escapement Enumeration Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EnumerationMethodScheme],https://w3id.org/gcdfo/salmon#EnumerationMethod,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EnumerationMethod,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Environmental Conditions,Environmental conditions outside specifications,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#EnvironmentalConditions,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EnvironmentalConditions,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Escapement,The number of mature salmon that pass through (or escape) fisheries and return to fresh water to spawn.,Fisheries and Oceans Canada. (2005). Canada's Policy for Conservation of Wild Pacific Salmon. Retrieved from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf,Fisheries and Oceans Canada. (2005). Canada's Policy for Conservation of Wild Pacific Salmon. Retrieved from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/315577.pdf,process (subClassOf) [http://purl.obolibrary.org/obo/BFO_0000015],https://w3id.org/gcdfo/salmon#Escapement,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Escapement,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Escapement Enumeration Method Scheme,Controlled vocabulary for salmon enumeration methods,,,,,https://w3id.org/gcdfo/salmon#EnumerationMethodScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EnumerationMethodScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Escapement Estimate Method Scheme,Controlled vocabulary for salmon estimate methods,,,,,https://w3id.org/gcdfo/salmon#EstimateMethodScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EstimateMethodScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Escapement Estimate Type Scheme,Controlled vocabulary for Hyatt 1997 estimate types,,,,,https://w3id.org/gcdfo/salmon#EstimateTypeScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EstimateTypeScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Escapement measurement,A measurement or estimate of escapement tied to a stock and a survey event.,,,,measurement datum (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000109],https://w3id.org/gcdfo/salmon#EscapementMeasurement,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EscapementMeasurement,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Escapement Survey Event,A survey event specifically for estimating escapement.,,,,Survey event (subClassOf) [https://w3id.org/gcdfo/salmon#SurveyEvent],https://w3id.org/gcdfo/salmon#EscapementSurveyEvent,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EscapementSurveyEvent,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Estimate Method,A method used to analyze and estimate salmon abundance from enumeration data,,,,Escapement Estimate Method Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateMethodScheme],https://w3id.org/gcdfo/salmon#EstimateMethod,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EstimateMethod,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
Estimate Type,Classification of escapement estimate quality based on Hyatt 1997 framework,,,,Escapement Estimate Type Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateTypeScheme],https://w3id.org/gcdfo/salmon#EstimateType,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EstimateType,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,ce035e857bdc28834fdf9736f63f5f606341675ce16f75a9c1cbb69b3076d0be
