term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Bypass/Breach Risk,Bypass or breach risks not monitored and verified negligible,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#BreachBypass,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#BreachBypass,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Classification,Classification/attribution not documented,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Classification,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Classification,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Cross-section Coverage,Incomplete cross-section coverage,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#CrossSectionCoverage,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#CrossSectionCoverage,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Data quality rating context,Measurement context indicating categorical or ordinal quality ratings.,,,,Measurement context (broader) [https://w3id.org/gcdfo/salmon#MeasurementContext]; Measurement context scheme (inScheme) [https://w3id.org/gcdfo/salmon#MeasurementContextScheme],https://w3id.org/gcdfo/salmon#DataQualityRatingContext,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#DataQualityRatingContext,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Data, Models, and Provenance","Data models, analytical workflows, provenance, quality dimensions, and metadata supporting salmon science.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#DataModelProvenanceTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#DataModelProvenanceTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Detectability,Detectability factors not validated,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Detectability,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Detectability,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Device Configuration,Device not within operational specifications,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#DeviceConfiguration,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#DeviceConfiguration,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Documentation,Missing SIL/SEN logs or QA/methods report,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Documentation,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Documentation,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Downgrade Criteria,Criteria that may result in downgrading an escapement estimate type classification,,,,Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#DowngradeCriteria,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#DowngradeCriteria,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Effort Standardization,Effort not standardized,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#EffortStandardization,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EffortStandardization,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Environmental Conditions,Environmental conditions outside specifications,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#EnvironmentalConditions,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EnvironmentalConditions,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Estimate Type,Classification of escapement estimate quality based on Hyatt 1997 framework,,,,Escapement Estimate Type Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateTypeScheme],https://w3id.org/gcdfo/salmon#EstimateType,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EstimateType,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
European age notation,"Salmon age notation that records freshwater years followed by ocean years (for example, 1.2).",https://www.pac.dfo-mpo.gc.ca/fm-gp/fraser/docs/archiv-reports-rapports/indigenous-autochtone/2010FrasRvrChkInformDoc.htm,,https://www.pac.dfo-mpo.gc.ca/fm-gp/fraser/docs/archiv-reports-rapports/indigenous-autochtone/2010FrasRvrChkInformDoc.htm,Age notation (broader) [https://w3id.org/gcdfo/salmon#AgeNotation]; Age notation scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeNotationScheme],https://w3id.org/gcdfo/salmon#EuropeanAgeNotation,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#EuropeanAgeNotation,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Fisheries Management,"Fishery openings, harvest control rules, catch/effort measures, and exploitation monitoring for salmon fisheries.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#FisheriesManagementTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#FisheriesManagementTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
GenerationalAverageAbundance,Mean spawner abundance across the most recent generation-length years used as the numerator for WSP benchmark ratios.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#GenerationalAverageAbundance,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#GenerationalAverageAbundance,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Genetics and Stock Composition,"Genetic markers, assays, and analyses used to infer stock composition, parentage, and population structure.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#GeneticsStockCompositionTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#GeneticsStockCompositionTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Gilbert-Rich age notation,"Salmon age notation where total age is annotated with freshwater years as a subscript-like suffix (for example, 4_2 for total age 4 with 2 freshwater years).",https://www.pac.dfo-mpo.gc.ca/fm-gp/fraser/docs/archiv-reports-rapports/indigenous-autochtone/2010FrasRvrChkInformDoc.htm,,https://www.pac.dfo-mpo.gc.ca/fm-gp/fraser/docs/archiv-reports-rapports/indigenous-autochtone/2010FrasRvrChkInformDoc.htm,Age notation (broader) [https://w3id.org/gcdfo/salmon#AgeNotation]; Age notation scheme (inScheme) [https://w3id.org/gcdfo/salmon#AgeNotationScheme],https://w3id.org/gcdfo/salmon#GilbertRichAgeNotation,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#GilbertRichAgeNotation,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Habitat, Ecosystem, and Climate Pressures","Habitat attributes, ecosystem conditions, and climate or environmental stressors affecting salmon.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#HabitatEcosystemClimateTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#HabitatEcosystemClimateTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Infill Method,Interpolation used for missing data; defensibility must be documented,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#InfillMethod,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#InfillMethod,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
LongTermTrendMetric,WSP long-term trend metric computed from trend-designated wild spawner series to support rapid status determination.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#LongTermTrendMetric,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#LongTermTrendMetric,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Mark-Recapture Assumptions,MR assumptions not evaluated,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#MarkRecaptureAssumptions,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#MarkRecaptureAssumptions,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Measurement context,A context qualifier used to disambiguate the interpretation of a measurement column.,,,,Measurement context scheme (inScheme) [https://w3id.org/gcdfo/salmon#MeasurementContextScheme],https://w3id.org/gcdfo/salmon#MeasurementContext,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#MeasurementContext,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Measurement context scheme,"Controlled vocabulary for compositional measurement context qualifiers (for example, catch context, run context).",,,,,https://w3id.org/gcdfo/salmon#MeasurementContextScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#MeasurementContextScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Method Unknown/Inconsistent,Survey/analytical methods not adequately identified/consistent,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#MethodUnknown,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#MethodUnknown,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Monitoring and Field Work,"Field observations, sampling protocols, survey events, gear, and measurement methods used to collect salmon data.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#MonitoringFieldWorkTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#MonitoringFieldWorkTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Number of Visits,Insufficient number of survey visits,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#NumberOfVisits,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#NumberOfVisits,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Observed rate or abundance,"A measurement datum representing an empirically observed rate, count, or abundance derived from monitoring or survey data.",,,,measurement datum (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000109],https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ObservedRateOrAbundance,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
PercentChangeMetric,WSP percent-change metric measuring generational abundance change used in rapid status decision logic.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#PercentChangeMetric,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#PercentChangeMetric,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Policy, Governance, and Organizational Structure","DFO policy frameworks, governance, regulations, and organizational structure relevant to salmon management.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#PolicyGovernanceTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#PolicyGovernanceTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Precision/Accuracy,Precision/accuracy weaker than expected for type,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#PrecisionAccuracy,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#PrecisionAccuracy,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
ProbabilityDeclineBelowLowerBenchmarkMetric,Probability metric estimating risk of abundance declining below lower benchmark.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#ProbabilityDeclineBelowLowerBenchmarkMetric,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ProbabilityDeclineBelowLowerBenchmarkMetric,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
RapidStatusScoreMetric,Numeric score output from WSP rapid-status decision system.,Source documented in WSP integration proposal,Source documented in WSP integration proposal,https://github.com/sos-program/WSP-Metrics-Pkg,Observed rate or abundance (subClassOf) [https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance],https://w3id.org/gcdfo/salmon#RapidStatusScoreMetric,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#RapidStatusScoreMetric,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Reach Coverage,Insufficient reach coverage,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#ReachCoverage,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ReachCoverage,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Review/QA,Insufficient QA review of automated events,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#ReviewQA,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ReviewQA,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Run Coverage,Run-window coverage < 95% of season days,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#RunCoverage,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#RunCoverage,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Salmon Enhancement and Hatcheries,"Hatchery production, broodstock management, releases, and enhancement program practices for salmon.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#SalmonEnhancementHatcheriesTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#SalmonEnhancementHatcheriesTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Species at Risk and Recovery,"COSEWIC/SARA recovery planning, critical habitat, threats, and status assessments for species of conservation concern.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#SpeciesAtRiskRecoveryTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#SpeciesAtRiskRecoveryTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Stock Assessment,"Stock assessment models, benchmarks, status determinations, and performance metrics for salmon units.",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#StockAssessmentTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#StockAssessmentTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Target or limit rate or abundance,"A value specification representing a policy- or model-defined target or limit, such as TAC or UMSY.",,,,measurement datum (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000109],https://w3id.org/gcdfo/salmon#TargetOrLimitRateOrAbundance,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#TargetOrLimitRateOrAbundance,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
theme,"Associates OWL classes and SKOS concepts with high-level thematic concept schemes (e.g., Stock Assessment, GSI, Policy).",,,,,https://w3id.org/gcdfo/salmon#theme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#theme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
