term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Policy framework scheme,"Controlled vocabulary for policy and governance frameworks referenced by salmon assessment metrics and benchmarks (e.g., WSP, PA).",,,,,https://w3id.org/gcdfo/salmon#PolicyFrameworkScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#PolicyFrameworkScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Precautionary Approach,"DFO policy framework for applying precaution in fisheries decision-making, including use of reference points and stock status zones.",,,,Policy framework (broader) [https://w3id.org/gcdfo/salmon#PolicyFramework]; Policy framework scheme (inScheme) [https://w3id.org/gcdfo/salmon#PolicyFrameworkScheme],https://w3id.org/gcdfo/salmon#PrecautionaryApproach,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#PrecautionaryApproach,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Reference point,Reference points are used as targets to achieve or as limits to avoid.,DFO Introduction to Stock Assessment Glossary.,DFO Introduction to Stock Assessment Glossary.,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,information content entity (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000030],https://w3id.org/gcdfo/salmon#ReferencePoint,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ReferencePoint,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Reporting or management stratum,"An information-defined grouping of fish populations used for reporting, conservation assessment, or management purposes. Examples include Conservation Units (CUs), Stock Management Units (MUs), and Designatable Units (DUs).",,,,information content entity (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000030],https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ReportingOrManagementStratum,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Stock,"An operationally-defined grouping of salmon used for assessment and management purposes. A stock is a management unit or reporting stratum, not a biological organism.",DFO Introduction to Stock Assessment Glossary; Pacific Salmon Commission Technical Report No. 49.,DFO Introduction to Stock Assessment Glossary; Pacific Salmon Commission Technical Report No. 49.,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,Reporting or management stratum (subClassOf) [https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum],https://w3id.org/gcdfo/salmon#Stock,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Stock,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Stock Management Unit,A collection of stocks that are managed together with a joint stock status.,DFO Introduction to Stock Assessment Glossary.,DFO Introduction to Stock Assessment Glossary.,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,Reporting or management stratum (subClassOf) [https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum],https://w3id.org/gcdfo/salmon#StockManagementUnit,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#StockManagementUnit,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Target or limit rate or abundance,"A value specification representing a policy- or model-defined target or limit, such as TAC or UMSY.",,,,measurement datum (subClassOf) [http://purl.obolibrary.org/obo/IAO_0000109],https://w3id.org/gcdfo/salmon#TargetOrLimitRateOrAbundance,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#TargetOrLimitRateOrAbundance,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Upper biological benchmark,Upper benchmark value for a metric used to delineate Wild Salmon Policy status zones (typically the boundary between Amber and Green zones).,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf,Metric benchmark (subClassOf) [https://w3id.org/gcdfo/salmon#MetricBenchmark],https://w3id.org/gcdfo/salmon#UpperBiologicalBenchmark,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#UpperBiologicalBenchmark,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Upper stock reference,A threshold below which fishing must be reduced to avoid reaching the LRP. The USR must be set at an appropriate distance above the LRP to provide sufficient opportunity for managers to recognize a declining stock status and sufficient time for management actions to take effect. ,DFO Introduction to Stock Assessment Glossary.,DFO Introduction to Stock Assessment Glossary.,,Reference point (subClassOf) [https://w3id.org/gcdfo/salmon#ReferencePoint],https://w3id.org/gcdfo/salmon#UpperStockReferencePoint,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#UpperStockReferencePoint,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Wild Salmon Policy,"Canada's Wild Salmon Policy framework for conserving and managing wild Pacific salmon, including integrated status assessments and biological benchmarks for Conservation Units.",,,,Policy framework (broader) [https://w3id.org/gcdfo/salmon#PolicyFramework]; Policy framework scheme (inScheme) [https://w3id.org/gcdfo/salmon#PolicyFrameworkScheme],https://w3id.org/gcdfo/salmon#WildSalmonPolicy,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WildSalmonPolicy,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Wild Salmon Policy biological status zone,"The biological status of a Conservation Unit (CU) will normally be based on the abundance and distribution of spawners in the unit, or proxies thereof. For each CU, higher and lower benchmarks will be defined that will delimit three status zones: Green, Amber, and Red. As spawner abundance decreases, a CU moves towards the lower status zone, and the extent of management intervention for conservation purposes will increase.",Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,Fisheries and Oceans Canada. (2021). Wild Salmon Policy 2018-2022 Implementation Plan. Available at https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40728109.pdf.,,Wild Salmon Policy Status Zone (inScheme) [https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme],https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZone,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WSPBiologicalStatusZone,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
Wild Salmon Policy Status Zone,Controlled vocabulary for biological status zones under the Wild Salmon Policy.,,,,,https://w3id.org/gcdfo/salmon#WSPBiologicalStatusZoneScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WSPBiologicalStatusZoneScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
WSP rapid status,"The WSP rapid status assessment approach builds on previously completed WSP integrated status assessments. The WSP rapid status approach ensures statuses are scientifically objective, consistent, and comparable across BC/Yukon CUs. This approach is also relatively easy to implement, applicable to data rich and data poor CUs, and can be updated annually.","Pestal, G., MacDonald, B. L., Grant, S. C. H., and Holt, C. A. (2023). State of the Salmon: rapid status assessment approach for Pacific salmon under Canada’s Wild Salmon Policy. Can. Tech. Rep. Fish. Aquat. Sci. 3570: xiv + 200 p.","Pestal, G., MacDonald, B. L., Grant, S. C. H., and Holt, C. A. (2023). State of the Salmon: rapid status assessment approach for Pacific salmon under Canada’s Wild Salmon Policy. Can. Tech. Rep. Fish. Aquat. Sci. 3570: xiv + 200 p.",,,https://w3id.org/gcdfo/salmon#WSPRapidStatus,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WSPRapidStatus,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,73d38ca74b78839598551528e5ac3927cbf6ac7a0fcaae4c8bb6dcf226bd45e7
